task_id,latency_ms,deadline,assigned,priority,success,battery_level
1f25e909,1.0,198,local,0,True,99.95
5589a6c0,1.03,260,local,0,True,99.9
4449f873,0.34,136,local,0,True,99.88
91607dd2,1.57,279,local,0,True,99.8
94203eca,1.94,298,local,1,True,99.71
3c993d04,0.41,198,local,1,True,99.69
3f9c082c,0.59,218,local,1,True,99.66
5dd6ba33,1.12,211,local,1,True,99.6
963d906b,0.5,165,local,1,True,99.58
2e18dd1c,0.5,135,local,1,True,99.55
80086e65,0.74,212,local,0,True,99.96
57d0906a,0.6,230,local,0,True,99.93
fcbb4388,1.55,115,local,0,True,99.86
0fca0fce,1.61,132,local,0,True,99.78
8a1820e9,2.0,243,local,1,True,99.68
8b81076b,0.34,65,local,1,True,99.66
1d92e352,0.52,202,local,1,True,99.63
d3e2ed3a,0.69,127,local,2,True,99.6
9698f0a0,1.48,293,local,2,True,99.52
d7fdd50e,1.51,260,local,2,True,99.45
